period,company,consensus,smart_estimate,smart_industry,smart_deviation,n_analysts,true_eps,error_consensus,error_smart,se_consensus,se_smart,ae_consensus,ae_smart,period_group,improvement
0,RIC_000,0.17382474899166578,0.17656135847191362,-0.06350353285180448,0.24006489132371808,26,0.26718387146591227,-0.09335912247424649,-0.09062251299399865,0.008715925749161356,0.008212439861347454,0.09335912247424649,0.09062251299399865,0,0.0027366094802478425
0,RIC_001,-0.03345829690022214,-0.03299107574441115,0.0683216992607191,-0.10131277500513025,20,-0.04585137689465603,0.01239307999443389,0.012860301150244877,0.00015358843174843753,0.00016538734567498968,0.01239307999443389,0.012860301150244877,0,-0.00046722115581098594
0,RIC_002,0.03850556435040622,0.040105264298456886,-0.08493161788312455,0.12503688218158143,23,0.08493297837210181,-0.0464274140216956,-0.04482771407364493,0.0021555047727419368,0.0020095239490684636,0.0464274140216956,0.04482771407364493,0,0.0015996999480506688
0,RIC_003,-0.0869597743835917,-0.08683609079304642,-0.07947778620306026,-0.007358304589986168,24,-0.08902198735019207,0.002062212966600363,0.002185896557145642,4.25272231961467e-06,4.77814375854117e-06,0.002062212966600363,0.002185896557145642,0,-0.00012368359054527878
0,RIC_004,-0.049058521742107584,-0.051096101852996664,-0.025617512481263108,-0.02547858937173356,15,-0.03940106529215137,-0.009657456449956213,-0.011695036560845293,9.326646508280086e-05,0.0001367738801595081,0.009657456449956213,0.011695036560845293,0,-0.00203758011088908
0,RIC_005,0.035503743528185465,0.03617821949425472,-0.06350353285180448,0.0996817523460592,22,0.018472765700309993,0.017030977827875472,0.017705453793944725,0.0002900542057735859,0.00031348309404951165,0.017030977827875472,0.017705453793944725,0,-0.0006744759660692531
0,RIC_006,0.21283825073582,0.2153857754904371,0.0683216992607191,0.147064076229718,24,0.3566602951169197,-0.14382204438109972,-0.1412745196264826,0.020684780449959018,0.019958489895693418,0.14382204438109972,0.1412745196264826,0,0.0025475247546171143
0,RIC_007,-0.10239248370027292,-0.10936772760892366,-0.08493161788312455,-0.02443610972579912,23,-0.1749067558783921,0.07251427217811919,0.06553902826946845,0.005258319669522351,0.004295364226506184,0.07251427217811919,0.06553902826946845,0,0.006975243908650744
0,RIC_008,0.1143989767019082,0.11592995074044493,-0.07947778620306023,0.19540773694350516,22,0.21172992034140095,-0.09733094363949275,-0.09579996960095602,0.009473312589754115,0.009177634175544097,0.09733094363949275,0.09579996960095602,0,0.0015309740385367338
0,RIC_009,-0.33874351447823803,-0.3379177006163424,-0.02561751248126311,-0.3123001881350793,22,-0.5330574026633064,0.19431388818506834,0.19513970204696396,0.03775788714159924,0.03807950331497787,0.19431388818506834,0.19513970204696396,0,-0.000825813861895619
0,RIC_010,0.06910830797544637,0.07282370023083533,-0.06350353285180448,0.1363272330826398,23,0.13359949041701247,-0.0644911824415661,-0.06077579018617714,0.004159112612711363,0.0036936966727542254,0.0644911824415661,0.06077579018617714,0,0.003715392255388958
0,RIC_011,-0.019532121218529704,-0.01910658245812019,0.0683216992607191,-0.08742828171883929,24,-0.006087079440029761,-0.013445041778499943,-0.01301950301809043,0.0001807691484256089,0.00016950745883806582,0.013445041778499943,0.01301950301809043,0,0.00042553876040951275
0,RIC_012,-0.15433795785370463,-0.15244348475871594,-0.08493161788312456,-0.06751186687559137,22,-0.2407020837173711,0.08636412586366646,0.08825859895865515,0.007458762236195221,0.007789580290144724,0.08636412586366646,0.08825859895865515,0,-0.0018944730949886912
