analyst_id,skill_industry,skill_company,archetype
ANALYST_000,0.520333627701972,0.4794344958578099,Noise Trader
ANALYST_001,0.2441950480665226,0.6947133551941541,Noise Trader
ANALYST_002,0.6818244444284245,0.6125657985542489,Generalist
ANALYST_003,0.1681943538993278,0.3952046081988305,Noise Trader
ANALYST_004,0.61437987501638,0.7748713002652086,Generalist
ANALYST_005,0.7622871816015218,0.6245224626272736,Generalist
ANALYST_006,0.8342089094023677,0.2682529806611734,Macro Specialist
ANALYST_007,0.95,0.8645048569081246,Generalist
ANALYST_008,0.7576648314093557,0.8506204459723496,Generalist
ANALYST_009,0.95,0.5741355690861507,Noise Trader
ANALYST_010,0.33798181158223467,0.27119628124166384,Noise Trader
ANALYST_011,0.7971123537247843,0.37566615670152037,Macro Specialist
ANALYST_012,0.693318173709286,0.7261295182328655,Generalist
ANALYST_013,0.7764236859232352,0.8875566584675061,Generalist
ANALYST_014,0.7642046856933574,0.6779205108929313,Generalist
ANALYST_015,0.4473222069149785,0.95,Stock Picker
ANALYST_016,0.7591580086970862,0.4462828965391104,Macro Specialist
ANALYST_017,0.6147759836247905,0.25364556182883513,Noise Trader
ANALYST_018,0.8477413166066219,0.26806307653514894,Macro Specialist
ANALYST_019,0.8385882871578021,0.8968206260378683,Generalist
ANALYST_020,0.4258115917439989,0.47650301293462466,Noise Trader
ANALYST_021,0.6678434936713595,0.5787758193667409,Noise Trader
ANALYST_022,0.95,0.7915392401151075,Generalist
ANALYST_023,0.536494226738457,0.8491951982784063,Noise Trader
ANALYST_024,0.7914986750600963,0.2699843640633825,Macro Specialist
ANALYST_025,0.5916332250162082,0.4777243503161649,Noise Trader
ANALYST_026,0.6459698478936902,0.8269061342043331,Generalist
ANALYST_027,0.2544572156539742,0.5299335899092715,Noise Trader
ANALYST_028,0.8148828266141801,0.7234165723413015,Generalist
ANALYST_029,0.38894665073421797,0.6775167909377147,Noise Trader
